edge_id,start_node,end_node,length,name,oneway
114,53328302,53328294,52.63756767654738,Eagle Heights Drive,False
115,53328304,10780893286,9.343858598878464,,False
116,53328304,10780893285,12.132834171321447,,False
117,53328304,10780893295,21.46941190390689,,False
118,53331082,4055616187,29.00463657360384,,False
119,53331082,4055591507,5.611742528007181,,False
120,53331082,1997867167,28.721589885824734,,False
121,53342175,5479078678,18.130304355945924,,False
122,53342179,5479078704,28.33330171386008,,False
123,53342179,429886156,7.375129864802739,,False
124,53342179,429886138,57.111158525471375,,False
125,53342179,53342196,41.64161771113008,,False
126,53342187,5479078704,95.93073374402353,,False
127,53342187,437729840,153.2007306071689,,False
128,53342187,5479078691,76.96162771836211,,False
129,53342189,5474445124,5.647588016296126,Lake Mendota Drive,False
130,53342189,10780895579,53.84708600551871,,False
131,53342189,5472064687,126.59512237220152,Lake Mendota Drive,False
132,53342196,5474445121,4.797565775805764,,False
133,53342196,53342179,41.64161771113008,,False
134,53342196,10780895579,18.326701620777925,,False
135,53342196,5479078672,50.859708704616466,,False
136,53342212,429886138,17.421006993714975,,False
137,53342212,53342212,107.360651947128,,False
138,53342212,53342212,107.36065194712802,,False
139,53342224,53281813,65.6261590396367,,False
140,53352223,10780893248,25.028235030170695,,False
141,53352223,53431069,82.56484705101802,Eagle Heights Drive,False
142,53352223,10780895259,57.41777330763864,Eagle Heights Drive,False
143,53359723,431369043,37.69365182555846,,False
144,53359723,431369042,49.86653096435318,,False
145,53359723,437644090,26.522885296279952,,False
146,53359737,259898699,127.84091154689463,University Bay Drive,False
147,53359737,459413383,58.64768573904721,,False
148,53359737,3026627135,101.76546366868112,University Bay Drive,False
149,53359819,5500083059,125.65392764540726,,False
150,53359819,3936957305,18.04307029205016,,False
151,53359819,5500083060,105.27276763454552,,False
152,53359851,5500078464,11.331070076278943,University Houses,False
153,53359851,4179370668,3.8090579762790657,University Houses Gardens Access,False
154,53359851,5500078441,108.51012295948408,Haight Road,False
155,53367359,53367360,14.887065306734465,,False
156,53367359,53473418,56.04328538753305,Eagle Heights Drive,False
157,53367359,6776854279,37.58551188218152,Eagle Heights Drive,False
158,53367360,10780895563,19.07693533365251,,False
159,53367360,53367359,14.887065306734465,,False
160,53367360,443136601,15.96931320855872,,False
161,53370686,441517217,9.27402567353858,,False
162,53370686,53486817,142.2793093667063,Linden Drive,False
163,53370686,2726193743,65.01077155264954,Linden Drive,False
164,53370688,441517217,61.69253442005239,,False
165,53370688,4055626300,133.96036975749004,,False
166,53370688,6283032722,81.8704162734999,,False
167,53370766,4055583001,5.0371962303377575,Babcock Drive,False
168,53370766,6283032716,16.935723006246832,,False
169,53370766,3033934071,61.81663851837263,Babcock Drive,False
170,53370932,3229347472,6.128593247489083,Farm Place,False
171,53370932,4055637325,67.02354265964891,Farm Place,False
172,53370932,451331686,57.155190549160935,Farm Place,False
173,53370937,4055637327,1.9683038198988636,Farm Place,False
174,53387349,10780895670,8.810953539370285,,False
175,53387349,5472071379,161.07073225733228,Lake Mendota Drive,False
176,53387349,53327385,145.34438339762647,Lake Mendota Drive,False
177,53387349,5479073809,151.67773044188246,Lake Mendota Drive,False
178,53387350,10780895670,11.321416661275482,,False
179,53387350,10780895687,74.24708795195113,,False
180,53387350,9634679147,19.455534353167334,,False
181,53394410,10780895211,20.300046695180907,Eagle Heights Drive,False
182,53394410,10780895263,35.84914468011296,,False
183,53394410,53328294,43.796046165161485,Eagle Heights Drive,False
184,53394424,10780895258,9.186966997139256,,False
185,53394424,5481829658,15.661465943544398,,False
186,53394424,10780895263,22.675259215729298,,False
187,53394433,5481829662,6.738422073875823,,False
188,53394433,10780895253,25.680349337975095,,False
189,53394433,10780895250,22.07204426701874,,False
190,53394443,53394447,38.102657832166344,,False
191,53394443,5481829673,24.0369146850014,,False
192,53394443,10780895312,58.85589129775399,,False
193,53394447,10780895372,18.144445091178394,,False
194,53394447,53394443,38.102657832166344,,False
195,53394447,10780895312,21.064974431418342,,False
196,53394447,10780895292,12.403330203889048,,False
197,53394467,53394470,4.837408454234721,,False
198,53394467,442750408,15.835273489859054,,False
199,53394467,430300299,175.97572114199633,,False
200,53394470,53394467,4.837408454234721,,False
201,53394470,441515565,8.935302910672315,,False
202,53394470,10780895528,36.11385306842148,,False
203,53394470,10780895513,13.208547433583734,,False
204,53394479,442750383,11.201823139867063,,False
205,53394479,437729824,59.95049074418618,Eagle Heights Drive,False
206,53394479,53473418,22.642040373195155,Eagle Heights Drive,False
207,53395628,53395631,10.69795990920258,,False
208,53395628,5474444915,22.995134506690544,,False
209,53395628,6853663975,27.021435930628428,,False
210,53395631,53395628,10.69795990920258,,False
211,53395631,10780895630,16.563804617170764,,False
212,53395631,5479059508,21.57026651601773,,False
213,53395672,10780895760,21.028482845077228,,False
214,53395672,10780895760,89.53783693896335,,False
215,53395672,10780895752,42.187979731864935,,False
